"Player","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST.x","STL","BLK","TOV","PF","PS.G","TEAM","AGE","HEIGHT","WEIGHT","DRAFT.ROUND","DRAFT.NUMBER","GP","PTS","REB","AST.y","NETRTG","OREB.","DREB.","USG.","TS.","AST.","heightnum"
"Ersan Ilyasova",30,"TOT",69,43,25.1,4,8.9,0.452,1.3,3.7,0.36,2.7,5.2,0.517,0.526,1.5,2,0.778,1.7,4.2,5.9,1.3,0.9,0.4,1,2.3,10.9,"PHI",31,"6-10",235,"2","36",10,9.3,7.6,1.3,7.4,"11.8%","21.9%","18.5%","49.9%","8.6%",72
"Evan Turner",29,"POR",79,40,25.7,3.3,7.3,0.447,0.5,1.7,0.318,2.7,5.6,0.485,0.484,1.2,1.4,0.85,0.4,2.7,3.1,2.2,0.6,0.4,1.3,2.1,8.2,"POR",29,"6-7",220,"1","2",3,9.3,4,3.3,-10.3,"5.2%","9.9%","18.7%","41.3%","15.2%",79
"Fred VanVleet",23,"TOR",76,0,20,3.1,7.2,0.426,1.4,3.4,0.414,1.6,3.7,0.437,0.525,1.1,1.3,0.832,0.3,2.1,2.4,3.2,0.9,0.3,1,1.7,8.6,"TOR",24,"6-0",195,"Undrafted","Undrafted",6,6.8,1.7,2.2,4.5,"0.0%","10.9%","19.3%","48.2%","15.7%",72
"Furkan Korkmaz",20,"PHI",14,0,5.7,0.6,2,0.286,0.4,1.2,0.294,0.2,0.8,0.273,0.375,0.1,0.3,0.5,0.1,0.6,0.8,0.3,0.1,0.1,0.1,0.9,1.6,"PHI",20,"6-7",190,"1","26",1,3,0,0,117.1,"0.0%","0.0%","33.3%","150.0%","0.0%",79
"George Hill",31,"TOT",67,60,27,3.5,7.7,0.46,1.3,3.1,0.415,2.3,4.6,0.49,0.543,1.6,2.1,0.786,0.6,2.1,2.7,2.8,0.9,0.4,1.3,1.9,10,"CLE",32,"6-3",188,"1","26",12,9.3,2.2,2.2,9,"2.3%","6.9%","14.0%","61.2%","10.8%",75
"George Hill",31,"CLE",24,24,27.9,3.5,7.8,0.444,1.1,3.2,0.351,2.3,4.6,0.509,0.516,1.4,1.7,0.805,0.8,1.8,2.7,2.8,0.9,0.6,1.2,2.2,9.4,"CLE",32,"6-3",188,"1","26",12,9.3,2.2,2.2,9,"2.3%","6.9%","14.0%","61.2%","10.8%",75
"George Hill",31,"SAC",43,36,26.6,3.6,7.6,0.469,1.3,3,0.453,2.2,4.6,0.48,0.558,1.8,2.3,0.778,0.5,2.2,2.7,2.8,0.9,0.3,1.4,1.7,10.3,"CLE",32,"6-3",188,"1","26",12,9.3,2.2,2.2,9,"2.3%","6.9%","14.0%","61.2%","10.8%",75
"Gerald Green",32,"HOU",41,2,22.7,4.1,10.1,0.407,2.7,7.3,0.369,1.4,2.8,0.504,0.54,1.2,1.5,0.85,0.4,2.9,3.2,0.6,0.6,0.4,0.8,2.1,12.1,"HOU",32,"6-7",205,"1","18",13,6.2,3.3,0.1,-8.4,"3.1%","19.4%","18.4%","53.9%","0.8%",79
"Giannis Antetokounmpo",23,"MIL",75,75,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8,10,4.8,1.5,1.4,3,3.1,26.9,"MIL",23,"6-11",222,"1","15",7,25.7,9.6,6.3,0.4,"3.7%","23.7%","28.1%","62.0%","28.2%",73
"Goran Dragic",31,"MIA",75,75,31.7,6.5,14.3,0.45,1.5,4,0.37,5,10.3,0.481,0.502,2.9,3.6,0.801,0.7,3.4,4.1,4.8,0.8,0.2,2.2,2.4,17.3,"MIA",32,"6-3",190,"2","45",5,18.6,2.6,4.6,-6.2,"2.1%","6.9%","27.8%","54.9%","24.7%",75
"Gorgui Dieng",28,"MIN",79,0,16.9,2.4,4.9,0.479,0.2,0.8,0.311,2.1,4.1,0.511,0.504,1,1.3,0.775,1.3,3.2,4.6,0.9,0.6,0.5,0.7,1.9,5.9,"MIN",28,"6-11",251,"1","21",5,3.4,3.6,0.8,2.9,"4.1%","19.5%","13.8%","43.0%","8.9%",73
"Greg Monroe",27,"PHO",20,14,23.3,4.9,7.8,0.626,0,0,NA,4.9,7.8,0.626,0.626,1.6,2.3,0.674,2.5,5.5,8,2.5,0.8,0.3,2,2,11.3,"BOS",27,"6-11",265,"1","7",10,5.1,3.3,0.5,-16.3,"14.9%","24.4%","25.7%","54.6%","9.4%",73
"Greg Monroe",27,"BOS",26,0,19.1,4,7.6,0.53,0,0,NA,4,7.6,0.53,0.53,2.1,2.7,0.797,2,4.3,6.3,2.3,1.1,0.7,1.8,1.8,10.2,"BOS",27,"6-11",265,"1","7",10,5.1,3.3,0.5,-16.3,"14.9%","24.4%","25.7%","54.6%","9.4%",73
"Greg Monroe",27,"TOT",51,14,20.4,4.3,7.6,0.565,0,0,NA,4.3,7.6,0.565,0.565,1.7,2.3,0.739,2.1,4.7,6.9,2.2,0.9,0.5,1.8,1.9,10.3,"BOS",27,"6-11",265,"1","7",10,5.1,3.3,0.5,-16.3,"14.9%","24.4%","25.7%","54.6%","9.4%",73
"Greg Monroe",27,"MIL",5,0,15.8,3.2,6.6,0.485,0,0,NA,3.2,6.6,0.485,0.485,0.4,0.8,0.5,1.2,3.8,5,1,0,0,1.2,1.4,6.8,"BOS",27,"6-11",265,"1","7",10,5.1,3.3,0.5,-16.3,"14.9%","24.4%","25.7%","54.6%","9.4%",73
"Guerschon Yabusele",22,"BOS",33,4,7.1,0.8,1.8,0.426,0.4,1.1,0.324,0.4,0.7,0.583,0.525,0.5,0.7,0.682,0.5,1.1,1.6,0.5,0.1,0.2,0.4,0.7,2.4,"BOS",22,"6-8",260,"1","16",10,0.4,1,0.2,-9.1,"7.0%","15.9%","9.1%","21.7%","6.7%",80
"Hassan Whiteside",28,"MIA",54,54,25.3,5.8,10.7,0.54,0,0,1,5.7,10.7,0.538,0.542,2.4,3.4,0.703,3.2,8.2,11.4,1,0.7,1.7,1.7,2.4,14,"MIA",28,"7-0",265,"2","33",5,5.2,6,0.2,-15.3,"13.0%","27.8%","20.7%","50.5%","2.1%",84
"Ian Clark",26,"NOP",74,2,19.7,3,6.7,0.448,0.8,2.6,0.318,2.2,4.1,0.533,0.511,0.6,0.8,0.763,0.1,1.6,1.7,1.5,0.4,0.1,0.8,1.6,7.4,"NOP",27,"6-3",175,"Undrafted","Undrafted",9,7.8,1.1,1.2,-7,"1.1%","4.4%","17.5%","51.7%","8.5%",75
"Ian Mahinmi",31,"WAS",77,0,14.9,1.8,3.2,0.556,0,0,0,1.8,3.2,0.561,0.556,1.2,1.7,0.703,1.8,2.3,4.1,0.7,0.5,0.5,1.3,3,4.8,"WAS",31,"6-11",262,"1","28",6,5,1.8,0.2,3.1,"8.3%","15.6%","16.3%","79.6%","3.2%",73
"Jabari Parker",22,"MIL",31,3,24,5.2,10.7,0.482,1,2.6,0.383,4.2,8.1,0.514,0.529,1.3,1.7,0.741,1.4,3.5,4.9,1.9,0.8,0.3,1.5,1.6,12.6,"MIL",23,"6-8",250,"1","2",7,10,6.1,1.4,-3.1,"5.8%","21.3%","20.9%","51.7%","9.8%",80
"Jae Crowder",27,"UTA",27,0,27.6,4.2,10.9,0.386,1.8,5.6,0.316,2.4,5.3,0.462,0.468,1.6,2.1,0.768,0.7,3.1,3.8,1.5,0.9,0.3,1.2,2.3,11.8,"UTA",27,"6-6",235,"2","34",11,10,5.1,1.7,-8.5,"1.3%","17.7%","18.5%","45.7%","9.1%",78
"Jae Crowder",27,"CLE",53,47,25.4,3,7.1,0.418,1.2,3.6,0.328,1.8,3.5,0.508,0.5,1.5,1.7,0.848,0.8,2.5,3.3,1.1,0.8,0.2,0.8,2.3,8.6,"UTA",27,"6-6",235,"2","34",11,10,5.1,1.7,-8.5,"1.3%","17.7%","18.5%","45.7%","9.1%",78
"Jae Crowder",27,"TOT",80,47,26.1,3.4,8.4,0.404,1.4,4.3,0.323,2,4.1,0.488,0.486,1.5,1.9,0.818,0.7,2.7,3.4,1.2,0.8,0.3,0.9,2.3,9.7,"UTA",27,"6-6",235,"2","34",11,10,5.1,1.7,-8.5,"1.3%","17.7%","18.5%","45.7%","9.1%",78
"Jake Layman",23,"POR",35,1,4.6,0.4,1.3,0.298,0.1,0.6,0.2,0.3,0.8,0.37,0.34,0.1,0.1,0.667,0.1,0.3,0.5,0.3,0.2,0.1,0.1,0.4,1,"POR",24,"6-9",210,"2","47",1,6,1,1,57.1,"0.0%","12.5%","16.2%","100%","16.7%",81
"Jakob Poeltl",22,"TOR",82,0,18.6,3.1,4.7,0.659,0,0,0.5,3.1,4.7,0.66,0.66,0.7,1.2,0.594,2,2.8,4.8,0.7,0.5,1.2,1,2.6,6.9,"TOR",22,"7-0",230,"1","9",9,5.4,4,0.7,-9.5,"12.5%","19.4%","16.0%","62.2%","7.3%",84
"Jamal Crawford",37,"MIN",80,0,20.7,3.9,9.3,0.415,1.3,3.9,0.331,2.6,5.4,0.477,0.485,1.3,1.4,0.903,0.3,1,1.2,2.3,0.5,0.1,1.2,1.1,10.3,"MIN",38,"6-5",185,"1","8",5,11.8,2.6,2.4,-4.2,"0.9%","10.3%","21.2%","56.0%","14.8%",77
"James Harden",28,"HOU",72,72,35.4,9,20.1,0.449,3.7,10,0.367,5.4,10.1,0.531,0.541,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,"HOU",28,"6-5",220,"1","3",13,28.7,5.3,7.2,9.3,"2.3%","15.3%","36.7%","56.5%","36.3%",77
"James Johnson",30,"MIA",73,41,26.6,4.2,8.4,0.503,0.8,2.5,0.308,3.5,5.9,0.587,0.55,1.5,2.2,0.698,0.8,4.1,4.9,3.8,1,0.7,1.9,2.6,10.8,"MIA",31,"6-8",240,"1","16",5,12.4,6,4.8,-9.6,"2.0%","18.4%","15.7%","64.4%","23.3%",80
"Jason Smith",31,"WAS",33,2,8.6,1.4,3.5,0.391,0.1,1,0.125,1.2,2.5,0.494,0.409,0.6,0.6,0.905,0.5,1.1,1.6,0.4,0.1,0.4,0.5,1.3,3.4,"WAS",32,"7-0",240,"1","20",1,0,0,0,-32.6,"0.0%","0.0%","0.0%","0.0%","0.0%",84
"Jason Terry",40,"MIL",51,4,16,1.2,3,0.383,0.8,2.3,0.348,0.4,0.8,0.487,0.513,0.2,0.2,0.889,0.1,0.8,0.9,1.2,0.8,0.3,0.5,1,3.3,"MIL",40,"6-2",185,"1","10",3,2,0.7,0.7,-6.5,"4.0%","2.4%","6.3%","60.0%","6.1%",74
"JaVale McGee",30,"GSW",65,17,9.5,2.1,3.4,0.621,0,0.1,0,2.1,3.3,0.638,0.621,0.6,0.8,0.731,0.9,1.7,2.6,0.5,0.3,0.9,0.4,1.4,4.8,"GSW",30,"7-0",270,"1","18",9,5.8,3.7,0.4,8.1,"14.6%","20.0%","20.7%","62.6%","6.8%",84
"Jaylen Brown",21,"BOS",70,70,30.7,5.3,11.5,0.465,1.7,4.4,0.395,3.6,7.1,0.507,0.54,2.1,3.3,0.644,0.9,4,4.9,1.6,1,0.4,1.8,2.6,14.5,"BOS",21,"6-7",225,"1","3",15,17.8,5,1.5,2.9,"3.0%","15.3%","24.0%","57.8%","8.1%",79
"Jayson Tatum",19,"BOS",80,80,30.5,5,10.4,0.475,1.3,3,0.434,3.7,7.4,0.492,0.538,2.7,3.2,0.826,0.6,4.4,5,1.6,1,0.7,1.4,2.1,13.9,"BOS",20,"6-8",205,"1","3",16,18,4.1,2.8,5.3,"2.1%","11.5%","23.7%","56.8%","13.3%",80
"Jeff Green",31,"CLE",78,13,23.4,3.8,7.9,0.477,0.7,2.2,0.312,3.1,5.7,0.54,0.52,2.6,3,0.868,0.8,2.4,3.2,1.3,0.5,0.4,1,1.9,10.8,"CLE",31,"6-9",235,"1","5",15,7.2,2.1,1.4,-4.4,"1.8%","9.6%","15.8%","53.7%","9.9%",81
"Jeff Teague",29,"MIN",70,70,33,5.1,11.3,0.446,1.2,3.3,0.368,3.9,8.1,0.477,0.499,2.9,3.4,0.845,0.3,2.6,3,7,1.5,0.3,2.5,2.4,14.2,"MIN",29,"6-2",189,"1","19",5,13,3.6,5.8,-14.8,"2.1%","11.3%","21.6%","55.6%","29.9%",74
"Jerami Grant",23,"OKC",81,1,20.3,3,5.6,0.535,0.4,1.4,0.291,2.6,4.3,0.613,0.57,2,3,0.675,1.1,2.9,3.9,0.7,0.4,1,0.7,1.9,8.4,"OKC",24,"6-9",220,"2","39",6,7.2,3.3,1,8.9,"6.3%","9.0%","15.0%","54.0%","6.7%",81
"Jerryd Bayless",29,"PHI",39,11,23.7,2.8,6.7,0.416,1.4,3.7,0.37,1.4,3,0.474,0.519,0.9,1.1,0.795,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9,"PHI",29,"6-3",200,"1","11",1,0,0,0,10.3,"0.0%","0.0%","0.0%","0.0%","0.0%",75
"Jimmy Butler",28,"MIN",59,59,36.7,7.4,15.6,0.474,1.2,3.4,0.35,6.2,12.2,0.509,0.512,6.2,7.2,0.854,1.3,4,5.3,4.9,2,0.4,1.8,1.3,22.2,"MIN",28,"6-8",236,"1","30",5,15.8,6,4,-1.9,"2.2%","17.1%","20.6%","55.7%","18.0%",80
"Joe Ingles",30,"UTA",82,81,31.4,4.1,8.8,0.467,2.5,5.7,0.44,1.6,3.1,0.516,0.609,0.8,1,0.795,0.3,3.9,4.2,4.8,1.1,0.2,1.9,2.2,11.5,"UTA",30,"6-8",226,"Undrafted","Undrafted",11,14.5,4.4,3.4,4.3,"1.4%","12.1%","18.1%","62.3%","15.1%",80
"Joe Johnson",36,"UTA",32,3,21.9,3,7.1,0.42,0.7,2.6,0.274,2.3,4.4,0.507,0.471,0.6,0.8,0.833,0.4,3,3.3,1.4,0.4,0.2,1,1,7.3,"HOU",36,"6-7",240,"1","10",6,1.7,1.3,0.3,-27.8,"0.0%","15.4%","16.3%","41.7%","8.7%",79
"Joe Johnson",36,"HOU",23,1,22,2.2,5.8,0.381,0.7,2.7,0.279,1.5,3.2,0.466,0.444,0.9,0.9,0.952,0.1,2.7,2.8,1.7,0.3,0,0.8,1.5,6,"HOU",36,"6-7",240,"1","10",6,1.7,1.3,0.3,-27.8,"0.0%","15.4%","16.3%","41.7%","8.7%",79
"Joe Johnson",36,"TOT",55,4,21.9,2.7,6.5,0.406,0.7,2.6,0.276,1.9,3.9,0.493,0.461,0.7,0.8,0.889,0.3,2.9,3.1,1.5,0.3,0.1,0.9,1.2,6.8,"HOU",36,"6-7",240,"1","10",6,1.7,1.3,0.3,-27.8,"0.0%","15.4%","16.3%","41.7%","8.7%",79
"Joe Young",25,"IND",53,1,10.5,1.5,3.5,0.43,0.5,1.2,0.379,1,2.3,0.458,0.497,0.4,0.5,0.759,0.2,1,1.2,0.7,0.3,0,0.5,0.7,3.9,"IND",25,"6-2",185,"2","43",1,0,0,0,96.5,"0.0%","0.0%","0.0%","0.0%","0.0%",74
"Joel Embiid",23,"PHI",63,63,30.3,8.1,16.8,0.483,1,3.4,0.308,7,13.4,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11,3.2,0.6,1.8,3.7,3.3,22.9,"PHI",24,"7-0",250,"1","3",8,21.4,12.6,3,5.7,"9.2%","29.1%","29.7%","51.9%","14.7%",84
"Joffrey Lauvergne",26,"SAS",55,1,9.7,1.8,3.5,0.516,0,0.1,0,1.8,3.4,0.53,0.516,0.5,0.9,0.638,1.1,2,3.1,0.7,0.2,0.1,0.6,0.8,4.1,"SAS",26,"6-11",260,"2","55",1,2,1,0,25.5,"0.0%","14.3%","7.8%","100%","0.0%",73
"John Henson",27,"MIL",76,69,25.9,3.8,6.6,0.572,0,0.1,0.143,3.8,6.5,0.578,0.573,1.2,2.1,0.57,2,4.8,6.8,1.5,0.6,1.4,1.1,2.7,8.8,"MIL",27,"6-11",229,"1","14",2,9.5,6,2.5,3,"7.8%","10.8%","11.8%","68.4%","9.1%",73
"John Wall",27,"WAS",41,41,34.4,6.8,16.3,0.42,1.5,4.1,0.371,5.3,12.2,0.436,0.466,4.3,5.9,0.726,0.5,3.1,3.7,9.6,1.4,1.1,3.9,2,19.4,"WAS",27,"6-4",210,"1","1",6,26,5.7,11.5,-3.1,"1.6%","16.1%","33.1%","52.8%","49.6%",76
"Jonas Jerebko",30,"UTA",74,19,15.3,2.1,4.6,0.466,0.9,2.1,0.414,1.3,2.5,0.511,0.562,0.6,0.8,0.807,0.7,2.6,3.3,0.6,0.3,0.2,0.4,1.7,5.8,"UTA",31,"6-10",231,"2","39",10,1.9,1.6,0.3,-8.5,"5.5%","17.6%","11.8%","47.8%","5.7%",72
"Jonas Valanciunas",25,"TOR",77,77,22.4,5.1,8.9,0.568,0.4,1,0.405,4.7,8,0.587,0.59,2.2,2.7,0.806,2.4,6.2,8.6,1.1,0.4,0.9,1.5,2.5,12.7,"TOR",26,"7-0",255,"1","5",10,14.6,10.5,1.2,4.5,"14.3%","34.9%","24.9%","59.9%","7.6%",84
"Jordan Bell",23,"GSW",57,13,14.2,2,3.2,0.627,0,0.1,0,2,3.2,0.641,0.627,0.5,0.8,0.682,1.1,2.6,3.6,1.8,0.6,1,0.9,1.6,4.6,"GSW",23,"6-9",224,"2","38",9,0.8,1.6,0.7,-3.2,"3.8%","26.1%","10.4%","30.1%","15.8%",81
"Jordan Clarkson",25,"CLE",28,0,22.6,4.7,10.3,0.456,1.6,3.9,0.407,3.1,6.4,0.486,0.533,1.7,2.1,0.81,0.5,1.6,2.1,1.7,0.7,0.1,1.1,1.6,12.6,"CLE",25,"6-5",194,"2","46",14,5,1.5,0.9,-12.6,"2.6%","9.4%","21.6%","38.2%","8.3%",77
"Jordan Clarkson",25,"TOT",81,2,23.3,5.3,11.8,0.451,1.4,3.9,0.352,3.9,7.9,0.5,0.509,1.9,2.3,0.8,0.7,2,2.7,2.7,0.7,0.1,1.6,1.3,13.9,"CLE",25,"6-5",194,"2","46",14,5,1.5,0.9,-12.6,"2.6%","9.4%","21.6%","38.2%","8.3%",77
"Jordan Clarkson",25,"LAL",53,2,23.7,5.6,12.6,0.448,1.3,4,0.324,4.4,8.6,0.505,0.499,2,2.5,0.795,0.8,2.2,3,3.3,0.7,0.1,1.8,1.2,14.5,"CLE",25,"6-5",194,"2","46",14,5,1.5,0.9,-12.6,"2.6%","9.4%","21.6%","38.2%","8.3%",77
"Jordan Crawford",29,"NOP",5,0,10.6,2.4,5.4,0.444,1.6,2.8,0.571,0.8,2.6,0.308,0.593,0.2,0.2,1,0.4,0.4,0.8,2.6,0.2,0.2,1,1.4,6.6,"NOP",29,"6-5",195,"1","27",2,9.5,2,0.5,-19.7,"0.0%","26.7%","47.2%","73.1%","25.0%",77
"Jose Calderon",36,"CLE",57,32,16,1.6,3.2,0.503,0.8,1.7,0.464,0.8,1.5,0.545,0.624,0.4,0.5,0.8,0.2,1.2,1.5,2.1,0.5,0,0.7,1.4,4.5,"CLE",36,"6-3",200,"Undrafted","Undrafted",9,2.2,0.7,0.6,1.5,"1.0%","5.7%","13.6%","43.7%","11.4%",75
"Josh Huestis",26,"OKC",69,10,14.2,0.9,2.6,0.33,0.5,1.7,0.287,0.4,1,0.403,0.42,0.1,0.3,0.3,0.6,1.7,2.3,0.3,0.2,0.6,0.4,1.2,2.3,"OKC",26,"6-7",230,"1","29",4,0.8,0.8,0,-16.2,"0.0%","18.8%","5.7%","52.1%","0.0%",79
"Josh Richardson",24,"MIA",81,81,33.2,4.9,10.9,0.451,1.6,4.1,0.378,3.4,6.8,0.495,0.523,1.5,1.8,0.845,0.9,2.7,3.5,2.9,1.5,0.9,1.7,2.5,12.9,"MIA",24,"6-6",200,"2","40",5,8.4,3,2.8,-15.5,"3.2%","9.2%","16.0%","48.7%","15.6%",78
"Jrue Holiday",27,"NOP",81,81,36.1,7.6,15.4,0.494,1.5,4.4,0.337,6.1,11,0.557,0.543,2.3,2.9,0.786,0.8,3.7,4.5,6,1.5,0.8,2.6,2.5,19,"NOP",27,"6-4",205,"1","17",9,23.7,5.7,6.3,2.5,"2.7%","11.9%","25.1%","58.1%","24.8%",76
"Justin Anderson",24,"PHI",38,0,13.7,2.3,5.3,0.431,0.9,2.7,0.33,1.4,2.6,0.535,0.515,0.7,1,0.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2,"PHI",24,"6-6",230,"1","21",7,1.1,1.3,0,7.6,"3.8%","21.1%","13.8%","50.0%","0.0%",78
"Justise Winslow",21,"MIA",68,25,24.7,3,7.2,0.424,0.7,1.9,0.38,2.3,5.3,0.44,0.474,1,1.5,0.635,0.9,4.5,5.4,2.2,0.8,0.5,1.1,2.1,7.8,"MIA",22,"6-7",225,"1","10",5,9.8,6.6,2.6,-1.4,"6.1%","21.3%","20.0%","49.5%","16.7%",79
"Jusuf Nurkic",23,"POR",79,79,26.4,6.1,12,0.505,0,0.1,0,6.1,11.9,0.508,0.505,2.2,3.5,0.63,2.4,6.6,9,1.8,0.8,1.4,2.3,3.1,14.3,"POR",23,"7-0",280,"1","16",4,11.8,8,1,-12.7,"12.4%","25.6%","20.5%","53.6%","6.3%",84
"Karl-Anthony Towns",22,"MIN",82,82,35.6,7.8,14.3,0.545,1.5,3.5,0.421,6.3,10.8,0.585,0.596,4.2,4.9,0.858,2.9,9.4,12.3,2.4,0.8,1.4,1.9,3.5,21.3,"MIN",22,"7-0",248,"1","1",5,15.2,13.4,2.2,-12.8,"10.7%","34.4%","21.9%","54.2%","9.9%",84
"Kelly Olynyk",26,"MIA",76,22,23.4,4.2,8.4,0.497,1.4,3.7,0.379,2.8,4.7,0.59,0.58,1.8,2.3,0.77,1.2,4.5,5.7,2.7,0.8,0.5,1.9,2.9,11.5,"MIA",27,"7-0",245,"1","13",5,12.8,4.6,3.8,-0.6,"5.1%","11.9%","18.3%","60.6%","20.7%",84
"Kevin Durant",29,"GSW",68,68,34.2,9.3,18,0.516,2.5,6.1,0.419,6.7,11.9,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3,2,26.4,"GSW",29,"6-9",240,"1","2",13,29.2,7.1,4.4,11.4,"1.9%","18.1%","31.7%","61.0%","20.0%",81
"Kevin Love",29,"CLE",59,59,28,5.7,12.4,0.458,2.3,5.6,0.415,3.3,6.8,0.494,0.552,4,4.5,0.88,1.7,7.5,9.3,1.7,0.7,0.4,1.5,2,17.6,"CLE",29,"6-10",251,"1","5",15,14.9,10.6,1.7,5.3,"8.3%","31.3%","24.1%","50.9%","8.3%",72
"Kevon Looney",21,"GSW",66,4,13.8,1.7,2.9,0.58,0,0.1,0.2,1.7,2.8,0.59,0.583,0.6,1.2,0.545,1.3,2,3.3,0.6,0.5,0.8,0.5,1.6,4,"GSW",22,"6-9",220,"1","30",13,4.6,4.8,1.1,12.6,"9.6%","14.1%","9.9%","57.0%","7.2%",81
"Khris Middleton",26,"MIL",82,82,36.4,7.2,15.5,0.466,1.8,5,0.359,5.5,10.5,0.517,0.524,3.9,4.4,0.884,0.5,4.7,5.2,4,1.5,0.3,2.3,3.3,20.1,"MIL",26,"6-8",234,"2","39",7,24.7,5.1,3.1,3.6,"0.5%","15.4%","24.3%","71.9%","13.8%",80
"Klay Thompson",27,"GSW",73,73,34.3,7.9,16.1,0.488,3.1,7.1,0.44,4.7,9,0.526,0.585,1.1,1.3,0.837,0.4,3.4,3.8,2.5,0.8,0.5,1.8,1.6,20,"GSW",28,"6-7",215,"1","11",13,20.1,4.2,2.3,9.2,"1.6%","9.9%","23.0%","54.9%","9.2%",79
"Kyle Anderson",24,"SAS",74,67,26.7,3.1,5.9,0.527,0.3,0.8,0.333,2.9,5.1,0.556,0.549,1.4,2,0.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9,"SAS",24,"6-9",230,"1","30",5,5.4,2.6,0.6,-7.7,"8.1%","11.8%","16.0%","62.0%","6.7%",81
"Kyle Korver",36,"CLE",73,4,21.6,3,6.6,0.459,2.2,5.2,0.436,0.8,1.5,0.537,0.628,0.9,1,0.889,0.1,2.1,2.3,1.2,0.4,0.4,0.8,1.8,9.2,"CLE",37,"6-7",212,"2","51",15,10.7,2.7,0.9,6,"1.3%","11.7%","15.3%","70.2%","5.4%",79
"Kyle Lowry",31,"TOR",78,78,32.2,5.2,12.1,0.427,3.1,7.6,0.399,2.1,4.5,0.474,0.553,2.9,3.3,0.854,0.8,4.7,5.6,6.9,1.1,0.2,2.3,2.5,16.2,"TOR",32,"6-0",205,"1","24",10,17.4,4.3,8.5,-0.7,"0.7%","14.6%","20.2%","65.9%","35.6%",72
"LaMarcus Aldridge",32,"SAS",75,75,33.5,9.2,18,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,4.5,5.3,0.837,3.3,5.2,8.5,2,0.6,1.2,1.5,2.2,23.1,"SAS",32,"6-11",260,"1","2",5,23.6,9.2,2.4,-12.4,"7.4%","24.3%","27.7%","59.9%","13.3%",73
"Lance Stephenson",27,"IND",82,7,22.6,3.7,8.6,0.427,0.8,2.8,0.289,2.9,5.8,0.495,0.475,1,1.5,0.661,0.8,4.4,5.2,2.9,0.6,0.2,1.6,2.2,9.2,"IND",27,"6-6",230,"2","40",7,10.4,2.7,2.9,-0.5,"2.5%","13.8%","24.9%","52.9%","21.3%",78
"LeBron James",33,"CLE",82,82,36.9,10.5,19.3,0.542,1.8,5,0.367,8.6,14.3,0.603,0.59,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.6,27.5,"CLE",33,"6-8",250,"1","1",15,33.7,8.7,9,2,"3.9%","22.0%","35.5%","62.6%","45.9%",80
"Lorenzo Brown",27,"TOR",14,0,9.9,1,2.4,0.412,0.1,0.9,0.167,0.9,1.6,0.545,0.441,0.1,0.1,1,0.1,1,1.1,0.9,0.4,0,0.2,0.5,2.3,"TOR",27,"6-5",189,"2","52",4,2.3,1.5,0.5,-26.1,"3.7%","20.8%","20.3%","41.4%","14.3%",77
"Luc Mbah a Moute",31,"HOU",61,15,25.6,2.7,5.7,0.481,1,2.8,0.364,1.7,2.8,0.599,0.572,1.1,1.6,0.684,0.4,2.7,3,0.9,1.2,0.4,1.1,1.6,7.5,"HOU",31,"6-8",230,"2","37",8,3.1,2.6,0.4,-23.6,"1.5%","14.8%","13.8%","34.5%","3.6%",80
"Lucas Nogueira",25,"TOR",49,3,8.5,1,1.6,0.613,0.1,0.4,0.263,0.9,1.2,0.721,0.644,0.4,0.6,0.679,0.4,1.4,1.8,0.4,0.5,0.9,0.3,1,2.5,"TOR",25,"7-0",220,"1","16",5,0.2,0.2,0.2,-48,"0.0%","6.7%","10.2%","26.6%","6.3%",84
"Luke Babbitt",28,"MIA",13,5,11.2,0.8,3.6,0.234,0.8,3.5,0.244,0,0.2,0,0.351,0,0,NA,0.2,1,1.2,0.4,0.1,0.2,0.3,0.5,2.5,"MIA",28,"6-9",225,"1","16",2,0,0,0,-83.2,"0.0%","0.0%","15.5%","0.0%","0.0%",81
"Luke Babbitt",28,"TOT",50,14,14.3,1.8,4.3,0.423,1.2,3.1,0.385,0.6,1.2,0.525,0.563,0.3,0.4,0.773,0.1,1.8,1.9,0.6,0.2,0.1,0.4,1.1,5.2,"MIA",28,"6-9",225,"1","16",2,0,0,0,-83.2,"0.0%","0.0%","15.5%","0.0%","0.0%",81
