"Player","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST.x","STL","BLK","TOV","PF","PS.G","TEAM","AGE","HEIGHT","WEIGHT","DRAFT.ROUND","DRAFT.NUMBER","GP","PTS","REB","AST.y","NETRTG","OREB.","DREB.","USG.","TS.","AST.","heightnum"
"Brandon Jennings",28,"MIL",14,0,14.6,1.9,5.1,0.375,0.6,2.4,0.273,1.3,2.8,0.462,0.438,0.7,0.7,1,0.4,1.9,2.2,3.1,0.4,0.3,1.3,0.8,5.2,"MIL",28,"6-1",170,"1","10",1,2,0,0,13.5,"0.0%","0.0%","49.2%","34.7%","0.0%",73
"Brandon Paul",26,"SAS",64,2,9,0.9,2,0.433,0.2,0.8,0.278,0.6,1.1,0.548,0.492,0.3,0.7,0.512,0.1,1,1.1,0.6,0.4,0.1,0.5,0.9,2.3,"SAS",27,"6-4",200,"Undrafted","Undrafted",1,0,1,1,65.7,"0.0%","33.3%","0.0%","0.0%","25.0%",76
"Bryn Forbes",24,"SAS",80,12,19,2.6,6.2,0.421,1.1,2.9,0.39,1.5,3.4,0.446,0.51,0.6,0.9,0.667,0.2,1.2,1.4,1,0.4,0,0.5,1.4,6.9,"SAS",24,"6-3",190,"Undrafted","Undrafted",4,4.3,0.8,0.5,-12,"2.1%","4.3%","17.3%","42.3%","6.3%",75
"Caleb Swanigan",20,"POR",27,3,7,0.9,2.2,0.4,0,0.3,0.125,0.9,1.9,0.442,0.408,0.4,0.7,0.667,0.6,1.4,2,0.5,0.2,0.1,0.7,1.4,2.3,"POR",21,"6-8",250,"1","26",1,3,2,1,57.1,"0.0%","25.0%","25.7%","39.9%","11.1%",80
"Carmelo Anthony",33,"OKC",78,78,32.1,6.1,15,0.404,2.2,6.1,0.357,3.9,8.9,0.437,0.476,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,"OKC",33,"6-8",240,"1","3",6,11.8,5.7,0.3,-14.3,"1.7%","17.2%","19.2%","45.2%","1.7%",80
"Cedi Osman",22,"CLE",61,12,11,1.5,3,0.484,0.5,1.4,0.368,1,1.6,0.586,0.57,0.4,0.8,0.565,0.3,1.7,2,0.7,0.4,0,0.5,1.3,3.9,"CLE",23,"6-8",215,"Undrafted","Undrafted",9,1.1,0.6,0.3,-0.1,"2.0%","10.8%","13.4%","33.9%","9.4%",80
"Cheick Diallo",21,"NOP",52,0,11.2,2,3.4,0.58,0,0,NA,2,3.4,0.58,0.58,1,1.3,0.758,0.9,3.2,4.1,0.4,0.2,0.4,0.5,1.6,4.9,"NOP",21,"6-9",220,"2","33",7,1.4,1.3,0,-23.1,"8.9%","11.1%","12.1%","41.7%","0.0%",81
"Chinanu Onuaku",21,"HOU",1,0,22,2,5,0.4,0,0,NA,2,5,0.4,0.4,0,0,NA,1,3,4,1,0,0,3,4,4,"HOU",21,"6-10",245,"2","37",1,0,1,1,-52.4,"20.0%","0.0%","0.0%","0.0%","50.0%",72
"Chris Paul",32,"HOU",58,58,31.8,6.3,13.8,0.46,2.5,6.5,0.38,3.8,7.2,0.532,0.55,3.5,3.8,0.919,0.6,4.8,5.4,7.9,1.7,0.2,2.2,2.4,18.6,"HOU",33,"6-0",175,"1","4",13,20.8,6.2,5.9,5.5,"1.7%","19.1%","26.7%","56.8%","29.8%",72
"Clint Capela",23,"HOU",74,74,27.5,6,9.1,0.652,0,0,0,6,9.1,0.653,0.652,1.9,3.5,0.56,3.3,7.6,10.8,0.9,0.8,1.9,1.4,2.5,13.9,"HOU",24,"6-10",240,"1","25",13,13.4,11.2,1.6,7.7,"13.3%","27.9%","16.0%","63.8%","7.9%",72
"Corey Brewer",31,"LAL",54,2,12.9,1.4,3.2,0.453,0.1,0.8,0.186,1.3,2.4,0.543,0.477,0.6,0.9,0.667,0.4,1.3,1.7,0.8,0.8,0.1,0.7,1.5,3.7,"OKC",32,"6-9",186,"1","7",6,6.2,2.2,0.8,-12.6,"3.0%","6.6%","8.6%","66.9%","4.7%",81
"Corey Brewer",31,"TOT",72,18,16.8,2,4.4,0.449,0.4,1.5,0.282,1.5,2.9,0.539,0.498,0.9,1.3,0.722,0.6,1.5,2.1,0.9,1.1,0.2,0.7,1.9,5.3,"OKC",32,"6-9",186,"1","7",6,6.2,2.2,0.8,-12.6,"3.0%","6.6%","8.6%","66.9%","4.7%",81
"Corey Brewer",31,"OKC",18,16,28.6,3.6,8,0.444,1.3,3.7,0.343,2.3,4.3,0.532,0.524,1.7,2.2,0.795,1.1,2.3,3.4,1.3,2.1,0.3,0.6,3.1,10.1,"OKC",32,"6-9",186,"1","7",6,6.2,2.2,0.8,-12.6,"3.0%","6.6%","8.6%","66.9%","4.7%",81
