"M.World Peace, K.Bryant, D.Fisher, P.Gasol, L.Odom",3.4
"M.World Peace, K.Bryant, A.Bynum, D.Fisher, L.Odom",1.5
"M.World Peace, K.Bryant, A.Bynum, D.Fisher, P.Gasol",3.0
"T.McGrady, G.Monroe, T.Prince, R.Stuckey, C.Wilcox",1.3
"T.McGrady, G.Monroe, T.Prince, R.Stuckey, B.Wallace",-0.7
"A.Jefferson, A.Kirilenko, C.Miles, P.Millsap, D.Williams",4.7
"D.Howard, J.Nelson, J.Redick, J.Richardson, H.Turkoglu",2.7
"J.Holiday, M.Speights, E.Turner, L.Williams, T.Young",-0.2
"K.Hinrich, A.Horford, J.Johnson, J.Smith, M.Williams",-2.1
"G.Hill, R.Lopez, S.Nash, J.Richardson, H.Turkoglu",-0.3
"J.Hickson, J.Moon, A.Parker, A.Varejao, M.Williams",-5.6
"J.Hickson, J.Moon, A.Parker, R.Sessions, A.Varejao",1.1
"G.Hayward, A.Jefferson, A.Kirilenko, P.Millsap, D.Williams",-1.8
"C.Hayes, C.Lee, K.Lowry, K.Martin, L.Scola",0.5
"D.Harris, K.Humphries, B.Lopez, A.Morrow, T.Outlaw",-2.4
"R.Hamilton, G.Monroe, T.Prince, R.Stuckey, C.Wilcox",1.3
"R.Hamilton, J.Maxiell, T.Prince, R.Stuckey, B.Wallace",-2.3
"S.Graham, D.Harris, K.Humphries, B.Lopez, T.Outlaw",-1.4
"J.Graham, J.Hickson, A.Parker, A.Varejao, M.Williams",-2.9
"B.Gordon, T.Prince, R.Stuckey, C.Villanueva, B.Wallace",1.6
"B.Gordon, G.Monroe, T.Prince, R.Stuckey, C.Villanueva",-1.0
"B.Gordon, T.McGrady, T.Prince, C.Villanueva, B.Wallace",-2.4
"B.Gordon, T.McGrady, G.Monroe, T.Prince, C.Wilcox",-1.3
"B.Gordon, T.McGrady, G.Monroe, T.Prince, B.Wallace",0.4
"D.Gibson, A.Jamison, A.Parker, A.Varejao, M.Williams",0.9
