"M.Barnes, B.Griffin, D.Jordan, C.Paul, J.Redick",7.5
"L.Aldridge, N.Batum, D.Lillard, R.Lopez, W.Matthews",4.2
"T.Black, J.Clarkson, W.Ellington, J.Hill, W.Johnson",3.3
"L.Amundson, C.Anthony, J.Calderon, L.Galloway, J.Smith",2.3
"C.Boozer, K.Bryant, J.Hill, W.Johnson, J.Lin",-5.7
"J.Butler, M.Dunleavy, P.Gasol, J.Noah, D.Rose",1.4
"W.Chandler, K.Faried, R.Foye, D.Gallinari, T.Lawson",3.0
"O.Casspi, D.Cousins, B.McLemore, R.Sessions, J.Thompson",7.5
"C.Frye, D.Marble, V.Oladipo, E.Payton, N.Vucevic",-0.9
"T.Black, J.Clarkson, W.Johnson, R.Kelly, J.Lin",-0.7
"D.Carroll, A.Horford, K.Korver, P.Millsap, J.Teague",3.0
"K.Martin, N.Pekovic, R.Rubio, A.Wiggins, T.Young",3.9
"T.Black, J.Clarkson, W.Ellington, R.Kelly, R.Sacre",-4.3
"A.Afflalo, L.Aldridge, N.Batum, D.Lillard, R.Lopez",-1.7
"B.Beal, M.Gortat, N.Hilario, P.Pierce, J.Wall",1.6
"T.Chandler, M.Ellis, D.Nowitzki, C.Parsons, R.Rondo",-0.7
"M.Conley, M.Gasol, J.Green, C.Lee, Z.Randolph",-0.4
"B.Biyombo, G.Henderson, M.Kidd-Gilchrist, K.Walker, C.Zeller",-0.1
"G.Henderson, A.Jefferson, M.Kidd-Gilchrist, M.Williams, C.Zeller",-0.1
"K.Irving, L.James, K.Love, T.Mozgov, J.Smith",6.2
"C.Brewer, G.Dieng, Z.LaVine, A.Wiggins, T.Young",-3.2
"S.Adams, S.Ibaka, R.Jackson, J.Lamb, L.Thomas",-1.8
"T.Ariza, P.Beverley, J.Harden, D.Howard, D.Motiejunas",2.9
"A.Afflalo, W.Chandler, K.Faried, T.Lawson, T.Mozgov",0.3
"G.Antetokounmpo, M.Carter-Williams, E.Ilyasova, K.Middleton, Z.Pachulia",2.5
"D.Collison, D.Cousins, R.Gay, B.McLemore, J.Thompson",4.8
"K.Bryant, E.Davis, J.Hill, W.Johnson, R.Price",-2.5
"H.Barnes, A.Bogut, S.Curry, D.Green, K.Thompson",5.7
"O.Asik, A.Davis, T.Evans, E.Gordon, Q.Pondexter",1.5
"C.Bosh, N.Cole, L.Deng, D.Wade, S.Williams",0.1
"T.Burke, A.Burks, D.Favors, G.Hayward, E.Kanter",0.0
"A.Brooks, M.Dunleavy, P.Gasol, J.Noah, T.Snell",-3.1
"O.Asik, A.Davis, T.Evans, E.Gordon, J.Holiday",2.7
"C.Butler, K.Caldwell-Pope, A.Drummond, R.Jackson, G.Monroe",-1.3
"G.Dieng, R.Hummel, A.Wiggins, M.Williams, T.Young",0.3
"L.Fields, A.Johnson, K.Lowry, T.Ross, J.Valanciunas",-2.3
"B.Bogdanovic, K.Garnett, J.Johnson, B.Lopez, D.Williams",0.7
"C.Boozer, E.Davis, W.Johnson, J.Lin, N.Young",-6.0
"O.Asik, L.Babbitt, A.Davis, T.Evans, J.Holiday",-0.3
"R.Hibbert, G.Hill, S.Hill, C.Miles, D.West",0.7
"L.Amundson, A.Bargnani, L.Galloway, A.Shved, L.Thomas",-2.6
"C.Copeland, R.Hibbert, S.Hill, L.Scola, D.Sloan",0.4
"D.Augustin, K.Caldwell-Pope, A.Drummond, G.Monroe, K.Singler",-1.8
"D.DeRozan, A.Johnson, K.Lowry, T.Ross, J.Valanciunas",0.7
"T.Chandler, M.Ellis, J.Nelson, D.Nowitzki, C.Parsons",2.7
"K.Garnett, J.Jack, J.Johnson, S.Karasev, M.Plumlee",0.1
"M.Gortat, N.Hilario, P.Pierce, G.Temple, J.Wall",2.1
"G.Henderson, A.Jefferson, M.Kidd-Gilchrist, B.Roberts, C.Zeller",2.0
"E.Bledsoe, B.Knight, A.Len, M.Morris, P.Tucker",-0.1
"J.Butler, M.Dunleavy, P.Gasol, K.Hinrich, J.Noah",-2.0
"C.Andersen, C.Bosh, M.Chalmers, L.Deng, D.Wade",-1.9
"M.Barnes, S.Hawes, D.Jordan, C.Paul, J.Redick",2.6
"K.Irving, L.James, K.Love, S.Marion, A.Varejao",1.0
"S.Adams, E.Kanter, A.Roberson, D.Waiters, R.Westbrook",1.7
"K.Caldwell-Pope, A.Drummond, B.Jennings, K.Singler, J.Smith",-2.4
"B.Beal, M.Gortat, K.Humphries, P.Pierce, J.Wall",0.1
"T.Ariza, P.Beverley, J.Harden, T.Jones, D.Motiejunas",0.1
"E.Bledsoe, G.Dragic, A.Len, M.Morris, P.Tucker",1.5
"C.Boozer, J.Clarkson, W.Ellington, R.Kelly, R.Sacre",-4.2
"L.Deng, G.Dragic, U.Haslem, D.Wade, H.Whiteside",-0.3
"M.Brown, J.Johnson, B.Lopez, D.Williams, T.Young",1.1
"M.Carter-Williams, R.Covington, L.Mbah a Moute, N.Noel, J.Sampson",-2.0
"K.Caldwell-Pope, A.Drummond, R.Jackson, G.Monroe, T.Prince",-2.3
"T.Harris, K.O'Quinn, V.Oladipo, E.Payton, N.Vucevic",-1.9
"S.Ibaka, E.Kanter, A.Roberson, K.Singler, R.Westbrook",-1.0
"S.Adams, K.Durant, S.Ibaka, A.Roberson, R.Westbrook",3.2
"R.Hibbert, S.Hill, R.Stuckey, C.Watson, D.West",-3.3
"T.Allen, M.Conley, M.Gasol, C.Lee, Z.Randolph",1.3
"B.Biyombo, G.Henderson, J.Taylor, K.Walker, M.Williams",-4.1
"C.Bosh, M.Chalmers, L.Deng, S.Napier, H.Whiteside",-1.0
"M.Carter-Williams, L.Mbah a Moute, N.Noel, H.Sims, H.Thompson",-3.3
"A.Afflalo, W.Chandler, K.Faried, T.Lawson, J.Nurkic",-0.6
"K.Caldwell-Pope, A.Drummond, B.Jennings, G.Monroe, K.Singler",1.3
"E.Davis, W.Ellington, J.Hill, W.Johnson, J.Lin",1.2
"D.Dedmon, T.Harris, V.Oladipo, E.Payton, N.Vucevic",-1.2
"O.Asik, D.Cunningham, A.Davis, T.Evans, E.Gordon",2.4
"D.Collison, R.Gay, R.Hollins, B.McLemore, J.Thompson",-1.9
"E.Davis, W.Ellington, J.Hill, W.Johnson, R.Price",-1.2
"L.Mbah a Moute, N.Noel, J.Richardson, J.Sampson, I.Smith",-3.2
"R.Anderson, O.Asik, D.Cunningham, T.Evans, E.Gordon",-5.4
"D.Collison, R.Evans, R.Gay, B.McLemore, J.Thompson",-1.9
"D.Exum, D.Favors, R.Gobert, G.Hayward, R.Hood",1.4
"S.Adams, E.Kanter, K.Singler, D.Waiters, R.Westbrook",-1.0
"E.Bledsoe, M.Morris, M.Morris, P.Tucker, B.Wright",0.4
"A.Bradley, J.Green, J.Sullinger, E.Turner, T.Zeller",-0.7
"J.Clarkson, W.Ellington, J.Hill, R.Kelly, R.Sacre",-2.0
"E.Fournier, C.Frye, T.Harris, V.Oladipo, N.Vucevic",-1.9
"L.Amundson, A.Bargnani, L.Galloway, S.Larkin, L.Thomas",-4.3
"G.Antetokounmpo, B.Knight, K.Middleton, J.O'Bryant, Z.Pachulia",0.7
"K.Caldwell-Pope, A.Drummond, B.Jennings, G.Monroe, J.Smith",-1.3
"G.Henderson, A.Jefferson, M.Kidd-Gilchrist, M.Williams, M.Williams",3.7
"B.Bass, A.Bradley, M.Smart, E.Turner, T.Zeller",-1.6
"B.Bogdanovic, K.Garnett, J.Jack, J.Johnson, M.Plumlee",-2.5
"C.Butler, K.Caldwell-Pope, A.Drummond, R.Jackson, A.Tolliver",2.8
"L.Aldridge, N.Batum, C.Kaman, D.Lillard, W.Matthews",-0.9
"E.Bledsoe, A.Len, M.Morris, M.Morris, P.Tucker",-1.0
