"K.Caldwell-Pope, A.Drummond, E.Ilyasova, R.Jackson, M.Morris",1.5
"K.Caldwell-Pope, A.Drummond, T.Harris, R.Jackson, M.Morris",1.6
"M.Ellis, P.George, G.Hill, I.Mahinmi, M.Turner",1.3
"N.Batum, M.Kidd-Gilchrist, K.Walker, M.Williams, C.Zeller",8.5
"N.Batum, C.Lee, K.Walker, M.Williams, C.Zeller",3.7
"D.Booker, T.Chandler, A.Goodwin, M.Morris, P.Tucker",-3.7
"W.Ellington, J.Johnson, B.Lopez, D.Sloan, T.Young",1.0
"A.Brown, J.Clarkson, R.Hibbert, L.Nance Jr., L.Williams",-0.1
"J.Butler, M.Dunleavy, P.Gasol, T.Gibson, D.Rose",1.0
"D.Carroll, D.DeRozan, K.Lowry, L.Scola, J.Valanciunas",-0.3
"B.Griffin, D.Jordan, L.Mbah a Moute, C.Paul, J.Redick",5.4
"L.Aldridge, T.Duncan, D.Green, K.Leonard, T.Parker",2.8
"A.Afflalo, C.Anthony, J.Calderon, R.Lopez, K.Porzingis",-0.6
"D.Booker, T.Chandler, A.Len, R.Price, P.Tucker",-0.8
"D.DeRozan, K.Lowry, N.Powell, J.Thompson, J.Valanciunas",5.8
"G.Dieng, Z.LaVine, R.Rubio, K.Towns, A.Wiggins",0.6
"D.Booker, T.Chandler, B.Knight, A.Len, P.Tucker",-4.8
"B.Beal, M.Gortat, K.Humphries, O.Porter Jr., J.Wall",-2.7
"S.Adams, K.Durant, S.Ibaka, A.Roberson, R.Westbrook",4.9
"K.Faried, D.Gallinari, G.Harris, N.Jokic, E.Mudiay",-0.7
"K.Faried, G.Harris, N.Jokic, E.Mudiay, J.Sampson",2.7
"C.Anthony, J.Grant, R.Lopez, S.Vujacic, D.Williams",0.8
"R.Hollis-Jefferson, J.Jack, J.Johnson, B.Lopez, T.Young",0.0
"E.Bledsoe, T.Chandler, B.Knight, M.Morris, P.Tucker",1.5
"C.Anthony, J.Calderon, R.Lopez, K.Porzingis, S.Vujacic",0.5
"T.Allen, C.Andersen, M.Barnes, J.Farmar, Z.Randolph",-8.0
"K.Faried, D.Gallinari, G.Harris, J.Hickson, E.Mudiay",-1.3
"G.Antetokounmpo, M.Carter-Williams, K.Middleton, G.Monroe, J.Parker",-1.6
"J.Butler, P.Gasol, T.Gibson, N.Mirotic, D.Rose",-0.4
"D.DeRozan, J.Johnson, K.Lowry, L.Scola, J.Valanciunas",-0.9
"E.Fournier, C.Frye, T.Harris, E.Payton, N.Vucevic",1.8
"J.Barea, W.Matthews, D.Nowitzki, Z.Pachulia, C.Parsons",2.9
"K.Bazemore, A.Horford, K.Korver, P.Millsap, J.Teague",1.5
"K.Irving, L.James, K.Love, J.Smith, T.Thompson",3.4
"D.Jordan, L.Mbah a Moute, C.Paul, P.Pierce, J.Redick",2.6
"M.Dunleavy, P.Gasol, T.Gibson, E.Moore, D.Rose",0.2
"K.Bryant, J.Clarkson, R.Hibbert, L.Nance Jr., L.Williams",-5.1
"L.Deng, G.Dragic, J.Johnson, A.Stoudemire, D.Wade",2.2
"C.Bosh, L.Deng, G.Dragic, D.Wade, H.Whiteside",-0.3
"A.Bradley, J.Crowder, A.Johnson, J.Sullinger, I.Thomas",0.3
"A.Aminu, D.Lillard, C.McCollum, M.Plumlee, N.Vonleh",-0.2
"D.Augustin, W.Barton, J.Lauvergne, J.Nurkic, A.Toupane",4.3
"N.Batum, P.Hairston, A.Jefferson, K.Walker, M.Williams",2.1
"D.Favors, R.Gobert, G.Hayward, R.Hood, S.Mack",2.3
"H.Barnes, A.Bogut, S.Curry, D.Green, K.Thompson",3.2
"N.Batum, P.Hairston, K.Walker, M.Williams, C.Zeller",-0.6
"K.Bryant, J.Clarkson, R.Hibbert, J.Randle, D.Russell",-5.2
"G.Antetokounmpo, O.Mayo, K.Middleton, J.Parker, M.Plumlee",-0.2
