"A.Gee, K.Irving, T.Thompson, A.Varejao, D.Waiters",5.4
"P.George, R.Hibbert, G.Hill, L.Stephenson, D.West",4.4
"L.Aldridge, N.Batum, J.Hickson, D.Lillard, W.Matthews",-0.5
"T.Allen, M.Conley, M.Gasol, R.Gay, Z.Randolph",3.3
"T.Allen, M.Conley, M.Gasol, T.Prince, Z.Randolph",3.7
"O.Asik, F.Garcia, J.Harden, J.Lin, G.Smith",-2.5
"K.Durant, S.Ibaka, K.Perkins, T.Sefolosha, R.Westbrook",3.8
"A.Kirilenko, M.Lee, K.Love, N.Pekovic, L.Ridnour",1.8
"C.Boozer, L.Deng, R.Hamilton, K.Hinrich, J.Noah",1.2
"W.Ellington, A.Gee, K.Irving, T.Thompson, T.Zeller",-6.1
"A.Kirilenko, N.Pekovic, L.Ridnour, B.Roy, D.Williams",-2.4
"A.Afflalo, M.Harkless, T.Harris, J.Nelson, N.Vucevic",-4.6
"C.Boozer, J.Butler, L.Deng, K.Hinrich, N.Mohammed",1.8
"R.Foye, A.Jefferson, P.Millsap, J.Tinsley, M.Williams",-2.2
"B.Biyombo, G.Henderson, M.Kidd-Gilchrist, J.McRoberts, K.Walker",-1.0
"O.Asik, J.Harden, J.Lin, C.Parsons, P.Patterson",0.0
"C.Butler, W.Green, B.Griffin, D.Jordan, C.Paul",2.4
"J.Calderon, B.Knight, J.Maxiell, G.Monroe, K.Singler",-1.5
"B.Knight, J.Maxiell, G.Monroe, T.Prince, K.Singler",0.5
"A.Kirilenko, N.Pekovic, L.Ridnour, R.Rubio, D.Williams",-1.4
"C.Bosh, M.Chalmers, U.Haslem, L.James, D.Wade",3.3
"R.Evans, J.Johnson, B.Lopez, G.Wallace, D.Williams",1.5
"A.Aminu, A.Davis, E.Gordon, R.Lopez, G.Vasquez",-0.6
"L.Allen, J.Holiday, J.Richardson, E.Turner, T.Young",1.5
"H.Barnes, A.Bogut, S.Curry, D.Lee, K.Thompson",0.3
"E.Bledsoe, C.Butler, W.Green, B.Griffin, D.Jordan",1.5
"A.Gee, J.Pargo, T.Thompson, A.Varejao, D.Waiters",1.0
"O.Asik, J.Harden, J.Lin, D.Motiejunas, C.Parsons",2.6
"S.Blake, K.Bryant, P.Gasol, D.Howard, M.World Peace",4.6
"D.DeRozan, R.Gay, A.Johnson, K.Lowry, J.Valanciunas",3.4
"A.Gee, K.Irving, T.Thompson, D.Waiters, T.Zeller",-2.0
"O.Asik, J.Harden, J.Lin, C.Parsons, G.Smith",3.7
"D.Cousins, T.Evans, J.Salmons, I.Thomas, J.Thompson",-2.2
"N.Hilario, E.Okafor, G.Temple, J.Wall, M.Webster",-1.6
"C.Billups, C.Butler, B.Griffin, D.Jordan, C.Paul",3.3
"A.Horford, K.Korver, J.Smith, D.Stevenson, J.Teague",2.2
"A.Brooks, D.Cousins, T.Evans, J.Salmons, J.Thompson",2.5
"D.Cousins, F.Garcia, J.Salmons, I.Thomas, J.Thompson",-0.1
"S.Hawes, J.Holiday, E.Turner, D.Wilkins, T.Young",-0.4
"M.Belinelli, C.Boozer, L.Deng, K.Hinrich, J.Noah",-1.0
"D.Cunningham, A.Kirilenko, N.Pekovic, L.Ridnour, A.Shved",-0.4
"A.Afflalo, M.Harkless, J.Nelson, A.Nicholson, N.Vucevic",-3.0
"K.Bryant, P.Gasol, D.Howard, D.Morris, M.World Peace",-0.8
"K.Faried, D.Gallinari, A.Iguodala, K.Koufos, T.Lawson",1.6
"G.Dragic, W.Johnson, M.Morris, L.Scola, P.Tucker",-1.3
"M.Ellis, E.Ilyasova, B.Jennings, L.Mbah a Moute, L.Sanders",0.8
"A.Kirilenko, K.Love, N.Pekovic, L.Ridnour, A.Shved",0.9
"B.Bass, A.Bradley, K.Garnett, C.Lee, P.Pierce",0.3
