"Name","age","GP","Mins","3_pt_attempt","3_pt_pct","2_pt_attempt","2_pt_pct","ft_attempt","ft_pct","off_reb","def_reb","assist","steal","blocks","TO","Fouls","Weight","net_rating","height"
"Aaron Brooks",4.1405352241196,-1.08147068179649,-5.68215059891263,-1.47000072885472,NA,-3.5257163583141,NA,-1.95946487202224,NA,-2.80228467497764,-4.4541509344132,-4.01347052944723,-3.38373602608547,-3.15022872114044,-3.31703936472133,-2.6780621785241,-4.7336563785743,0.903726443609563,-2.56698675988169
"Aaron Jackson",2.71570398523138,-2.42318238450759,4.6916057119447,1.30328739706845,NA,-0.173420607872593,NA,0.0469061089055519,NA,4.381661186864,-3.30446621481521,-2.94776601439401,-4.6924868196458,-3.15022872114044,-0.833807884184978,6.52888713096113,-2.96843631070755,-1.52271715841063,-1.07400854493807
"Abdel Nader",-2.27120535087737,-0.388974319106897,-3.89971824309522,-1.10022897873163,NA,-2.99640650298123,NA,-1.36935575998466,NA,-2.40317657154199,-2.97598486635864,-4.27989665821053,-2.72936062930531,-1.74210356212065,-1.89804994727199,-2.6780621785241,0.802715652462328,-4.44435333227169,0.418969670005544
"Al Horford",2.71570398523138,0.649770224927498,3.47955170998886,0.471300959291502,NA,1.85560050423674,NA,-0.307159358317,NA,1.98701256625012,4.74332682237069,6.91000074984829,-0.76623443896481,4.59445965346844,2.00417095071371,0.29192146969694,2.0062747896442,2.11694824461966,-2.56698675988169
"Al-Farouq Aminu",-0.133958492545045,0.519927156923199,2.90917335612729,2.13527383484541,NA,-1.49669524620476,NA,-0.897268470354587,NA,1.98701256625012,5.23604884505554,-2.41491375686739,2.50564254493602,1.07414675591895,-0.479060529822642,0.588919834519045,0.000342894341077029,-3.13209301689342,1.91194788494916
"Alec Burks",-0.846374111989153,0.3035220435827,-1.90339400457972,-0.36068547848545,NA,-0.790948772427606,NA,-0.0711157135019656,NA,-2.40317657154199,-0.512374752934389,-2.94776601439401,-0.76623443896481,-2.44616614163054,-1.18855523854731,-1.78706708405779,-0.481080760531673,1.29988050108225,0.418969670005544
"Alex Abrines",-2.27120535087737,0.779613292931797,-2.40247506420859,0.286415084229957,NA,-3.79037128598053,NA,-1.60539940479969,NA,-2.40317657154199,-2.97598486635864,-4.54632278697384,-1.42060983574498,-2.44616614163054,-3.31703936472133,-0.302075259947269,-2.40677538002267,3.0082948739332,0.418969670005544
"Amir Johnson",2.00328836578728,0.736332270263697,-2.15293453439416,-2.02465835403935,NA,-1.84956848309334,NA,-1.0152902927621,NA,3.18433687655706,-0.348134078706106,-1.34920924181417,-0.76623443896481,1.07414675591895,-1.89804994727199,2.37091002345167,1.60508841058358,2.51310230209235,1.91194788494916
"Andre Iguodala",4.85295084356371,0.3035220435827,1.23368694165892,-0.73045722860854,NA,-1.7613501738712,NA,-0.661224825539552,NA,-0.407636054363759,0.144587943978746,3.18003494716201,0.542516354595522,1.07414675591895,-0.833807884184978,-0.896071989591477,-0.400843484719548,4.27103593212739,0.418969670005544
"Andrew Wiggins",-3.69603658976558,1.0825804516085,5.15503812445722,1.39573033459923,NA,5.73720611001111,NA,2.17129891224086,NA,0.390580152507535,0.637309966663596,-0.283504726760953,2.50564254493602,1.07414675591895,1.64942359635137,0.588919834519045,-1.44392807027717,-2.90925635956503,1.41428847996795
