Player,TEAM,AGE,HEIGHT,WEIGHT,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,heightnum
Tony Bradley,UTA,20,6-10,248,1,28,1,2.0,1.0,0.0,1.8,50.0%,0.0%,36.8%,50.0%,0.0%,72
Tony Parker,SAS,36,6-2,185,1,28,5,6.6,0.8,1.2,-26.0,0.0%,6.9%,30.2%,41.2%,18.8%,74
Tony Snell,MIL,26,6-7,221,1,20,7,2.7,1.9,0.6,3.5,0.8%,10.5%,9.7%,39.6%,4.0%,79
Trevor Ariza,HOU,32,6-8,215,2,43,13,9.2,3.8,1.4,12.2,1.3%,12.1%,12.3%,55.0%,5.9%,80
Trevor Booker,IND,30,6-8,228,1,23,7,2.6,2.6,0.0,2.8,9.4%,27.7%,11.1%,68.8%,0.0%,80
Tristan Thompson,CLE,27,6-9,238,1,4,12,6.5,6.0,0.7,-1.7,15.6%,19.0%,12.5%,68.0%,4.9%,81
Ty Lawson,WAS,30,5-11,195,1,18,5,5.8,2.6,3.0,-1.6,2.4%,12.1%,14.7%,50.6%,23.4%,61
Tyler Johnson,MIA,26,6-4,190,Undrafted,Undrafted,5,8.0,1.6,0.8,-6.4,1.4%,9.6%,16.8%,68.8%,7.7%,76
Tyler Zeller,MIL,28,7-0,250,1,17,7,1.6,2.0,0.4,-23.0,3.4%,17.9%,6.0%,81.4%,7.5%,84
Tyus Jones,MIN,22,6-2,184,1,24,4,1.0,2.3,2.0,2.6,0.0%,15.5%,6.8%,28.6%,20.5%,74
Victor Oladipo,IND,26,6-4,210,1,2,7,22.7,8.3,6.0,7.6,1.5%,23.5%,30.0%,54.8%,26.6%,76
Wade Baldwin IV,POR,22,6-4,202,1,17,4,1.0,0.8,0.8,10.7,0.0%,20.0%,18.0%,41.0%,18.8%,76
Wayne Ellington,MIA,30,6-5,200,1,28,5,7.8,1.6,0.6,-20.5,0.9%,7.7%,16.4%,53.7%,5.7%,77
Zach Collins,POR,20,7-0,230,1,10,4,7.0,3.0,1.5,-20.0,4.4%,16.7%,21.9%,44.1%,13.3%,84
Zaza Pachulia,GSW,34,6-11,270,2,42,4,2.3,1.8,0.3,47.8,29.4%,10.5%,17.9%,67.8%,9.1%,73
Zhou Qi,HOU,22,7-1,210,2,43,3,0.7,0.3,0.0,-20.7,0.0%,20.0%,7.8%,100%,0.0%,85
